ukprn,kiscourseid,title,foundation,sandwich,yearabroad
10007784,UBAARLSABR18,Archaeology,0,0,2
10007784,UBAARLSING18,Archaeology,0,1,0
10007784,UBACLTSABR18,Comparative Literature,0,0,2
10007784,UBACLTSING18,Comparative Literature,0,0,0
10007784,UBACOMSING18,Communications,0,0,0
10007784,UBADUTSING18,Dutch,0,0,2
10007784,UBAECHSEDU18,Early Childhood Education,0,0,0
10007784,UBAENGSING05,English,0,0,0
10007784,UBAFINSING05,Fine Art,0,0,0
10007784,UBAFRESING18,French,0,0,2
10007784,UBAGEOSING18,Geography,0,0,0
10007784,UBAGEOSINT18,Geography (International Programme),0,0,2
10007784,UBAGERSING18,German,0,0,2
10007784,UBAHARSING18,History of Art,0,0,0
10007784,UBAHISSANC18,Ancient History,0,0,0
10007784,UBAHISSING18,History,0,0,0
10007784,UBAITASDUA18,Italian Studies: UCL-Venice Double Degree,0,0,2
10007784,UBAITASING18,Italian,0,0,2
10007784,UBALINSING18,Linguistics,0,0,0
10007784,UBALINSINT18,Linguistics (International Programme),0,0,2
10007784,UBALNGSANA18,Ancient Languages,0,0,2
10007784,UBALNGSANC18,Ancient Languages,0,0,0
10007784,UBAMEDUCCM20,Media,0,0,0
10007784,UBAPHISING18,Philosophy,0,0,0
10007784,UBARUSSING18,Russian Studies,0,0,2
10007784,UBASCASICE18,Icelandic,0,0,2
10007784,UBASCASING18,Scandinavian Studies,0,0,2
10007784,UBEECOSABR18,Economics,0,0,2
10007784,UBEECOSING18,Economics,0,0,0
10007784,UBFFINSING05,Fine Art,0,0,0
10007784,UBLLAWSING18,Law,0,0,0
10007784,UBMMEDSING01,Medicine,0,0,0
10007784,UBNBENSING22,Biochemical Engineering,0,0,0
10007784,UBNBMDSING22,Biomedical Engineering,0,0,0
10007784,UBNCENSING22,Chemical Engineering,0,0,0
10007784,UBNCIVSING22,Civil Engineering,0,0,0
10007784,UBNMECSING22,Mechanical Engineering,0,0,0
10007784,UBSANASNEU18,Neuroscience,0,0,0
10007784,UBSANTSING18,Anthropology,0,0,0
10007784,UBSANTWABR18,Anthropology,0,0,2
10007784,UBSARCSING18,Architecture,0,0,0
10007784,UBSARCSURB18,Urban Studies,0,0,0
10007784,UBSARLSING18,Archaeology,0,0,0
10007784,UBSASTSPHY18,Astrophysics,0,0,1
10007784,UBSAUDSING18,Audiology,0,0,2
10007784,UBSBMDSSCI18,Biomedical Sciences,0,0,0
10007784,UBSBOCSING18,Biochemistry,0,0,0
10007784,UBSBOLSING18,Biological Sciences,0,0,0
10007784,UBSCANSBMD18,Cancer Biomedicine,0,0,0
10007784,UBSCHESING18,Chemistry,0,0,0
10007784,UBSCOMSING18,Computer Science,0,0,0
10007784,UBSDATSING18,Data Science,0,0,0
10007784,UBSEARSEGS18,Environmental Geoscience,0,0,0
10007784,UBSEARSGEL18,Geology,0,0,0
10007784,UBSEARSING18,Earth Sciences,0,0,0
10007784,UBSEARSPHY18,Geophysics,0,0,0
10007784,UBSGEOSING18,Geography,0,0,0
10007784,UBSGEOSINT18,Geography (International Programme),0,0,2
10007784,UBSGLOSHST18,Global Humanitarian Studies,0,0,0
10007784,UBSHNESING18,Human Neuroscience,0,0,0
10007784,UBSHSCSING18,Human Sciences,0,0,0
10007784,UBSINFSBUS18,Information Management for Business,0,0,0
10007784,UBSINFSING18,Information in Society,0,0,0
10007784,UBSLINSEXP21,Experimental Linguistics,0,0,0
10007784,UBSLINSINT18,Experimental Linguistics (International Programme),0,0,2
10007784,UBSMANSING18,Management Science,0,0,0
10007784,UBSMATSING18,Mathematics,0,0,0
10007784,UBSMEDSAPP18,Applied Medical Sciences,0,0,0
10007784,UBSNATSING18,Natural Sciences,0,0,0
10007784,UBSPHASING18,Pharmacology,0,0,0
10007784,UBSPHYSING18,Physics,0,0,0
10007784,UBSPHYSTPH18,Theoretical Physics,0,0,0
10007784,UBSPOPSING18,Population Health Sciences,0,0,0
10007784,UBSPSYSING18,Psychology,0,0,0
10007784,UBSSOCSING18,Sociology,0,0,0
10007784,UBSSSCSING18,Social Sciences,0,0,0
10007784,UBSSTASING18,Statistics,0,0,0
10007784,UMNBENSING22,Biochemical Engineering,0,0,0
10007784,UMNBMDSING22,Biomedical Engineering,0,0,0
10007784,UMNCENSING22,Chemical Engineering,0,0,0
10007784,UMNCIVSING22,Civil Engineering,0,0,0
10007784,UMNCOMSING18,Computer Science,0,1,0
10007784,UMNCOMSMAT18,Mathematical Computation,0,1,0
10007784,UMNMECSING22,Mechanical Engineering,0,0,0
10007784,UMPPHMSING01,Pharmacy,0,0,0
10007784,UMSANASNEU18,Neuroscience,0,0,0
10007784,UMSARCSING19,Architecture,1,0,2
10007784,UMSASTSPHY18,Astrophysics,0,0,0
10007784,UMSBOCSING18,Biochemistry,0,0,2
10007784,UMSBOLSING18,Biological Sciences,0,0,0
10007784,UMSCHESING18,Chemistry,0,0,0
10007784,UMSCHESINT18,Chemistry (International Programme),0,0,2
10007784,UMSCPMSING18,Construction Project Management,0,0,0
10007784,UMSEARSEGS18,Environmental Geoscience,0,0,0
10007784,UMSEARSGEL18,Geology,0,0,0
10007784,UMSEARSING18,Earth Sciences,0,0,0
10007784,UMSEARSINT18,Earth Sciences (International Programme),0,0,2
10007784,UMSEARSPHY18,Geophysics,0,0,0
10007784,UMSMANSING18,Management Science,0,0,0
10007784,UMSMATSING18,Mathematics,0,0,0
10007784,UMSMPHSING18,Medical Physics,0,0,0
10007784,UMSNATSING18,Natural Sciences,0,0,0
10007784,UMSPHASING18,Pharmacology,0,0,0
10007784,UMSPHYSING18,Physics,0,0,0
10007784,UMSPHYSTPH18,Theoretical Physics,0,0,0
10007784,UMSPSYSING18,Psychology,0,0,2
10007784,UMSSTASINT18,Statistical Science (International Programme),0,0,2
